"","Leyte_b","Leyte_r2","Leyte_p","Cebu_b","Cebu_r2","Cebu_p"
"noAC1359",3.70098572833831e-05,0.116131769929317,0.07,1.14897026290190e-05,0.0381949514473454,0.092
"noAC1578",6.14825874231425e-05,0.181907172394795,0.03,1.21886520458852e-05,0.0433643458902596,0.106
"noAC915",6.80434075824579e-05,0.223423370898815,0.026,1.20926790186426e-05,0.045605371707968,0.099
"noACH_B6",7.3254162773531e-05,0.231039944619348,0.019,1.16778154904439e-05,0.0512443918838661,0.088
"noACH_C1",6.13747578657915e-05,0.165399070179817,0.042,1.16076698736247e-05,0.0336711893553995,0.142
"noACH_D1",6.8975862176469e-05,0.199676916025273,0.03,8.39592302428155e-06,0.0241787947020621,0.172
"noAPR_Cf29",7.23323322757133e-05,0.232542524861689,0.024,8.31400801805544e-06,0.0209356492499825,0.207
"noAPR_Cf8",7.70602965291876e-05,0.254796979796944,0.015,1.24400535411432e-05,0.0409374648513655,0.094
"noAPY_45",6.3814570068948e-05,0.278999469765788,0.011,1.58128433367863e-05,0.0664321244894554,0.057
"noAPY_65",8.20367072218085e-05,0.257480994710182,0.013,1.55027903045049e-05,0.0694440301478471,0.055
"noNNG_004",6.88953821618788e-05,0.220327381292926,0.027,1.11283892435297e-05,0.0465543738269458,0.105
"noNNG_012",6.4827764014227e-05,0.258137198451794,0.017,5.93372584271235e-06,0.0215268718023629,0.19
"noNNG_028",7.25614100859704e-05,0.288106381509022,0.012,1.11181612480439e-05,0.0335531837742512,0.122
