"","Leyte_b","Leyte_r2","Leyte_p","Cebu_b","Cebu_r2","Cebu_p"
"AC1359",0.000561701713988014,0.425148811934791,0.008,3.32606851903442e-06,0.000190906973409993,0.413
"AC1578",9.7279710788166e-05,0.0458051863351134,0.161,-1.30240287362620e-05,0.00366008937901101,0.63
"AC915",-3.74527985649147e-05,0.0204004415394339,0.724,-3.6408211753671e-06,0.00811109130512448,0.727
"ACH_A7",0.000105520203043475,0.117147201999068,0.081,5.95510740341086e-05,0.0245108041355373,0.142
"ACH_B6",2.88728386779632e-05,0.073993511819018,0.104,1.48104223163900e-05,0.00992471622777803,0.245
"ACH_C1",8.35938039266485e-05,0.0718475308711808,0.124,1.26252830878334e-05,0.00395044995332895,0.323
"ACH_D1",5.11342649161841e-05,0.0961443945024174,0.081,4.80855647060596e-05,0.113088058720925,0.02
"APR_Cf29",1.90614076035684e-05,0.0670379850399696,0.124,3.14779052926247e-05,0.0311559516790362,0.13
"APR_Cf8",-2.78086176145508e-05,0.00269737515342282,0.53,-1.52265526130170e-06,0.000200927659837421,0.494
"APY_45",0.000115350345444912,0.0687318711720375,0.144,-4.29835398595282e-05,0.0321977242325545,0.889
"APY_65",-1.68318001659520e-05,0.00921827135796067,0.66,-2.89504657528728e-05,0.0218659751951444,0.848
"NNG_004",4.58192289359019e-06,0.00155792112376682,0.362,-5.51443175374901e-05,0.0109196016366593,0.68
"NNG_012",6.31256909834123e-05,0.0152082852476344,0.253,7.87853365156126e-05,0.0444896112766222,0.112
"NNG_028",1.34542675167860e-05,0.00219367628111285,0.362,-6.64256199127076e-06,0.00354384645698723,0.618
