"","Leyte_b","Leyte_r","Leyte_r2","Leyte_p","Cebu_b","Cebu_r","Cebu_r2","Cebu_p"
"No 1",3.92267226505953e-05,0.358889034625055,0.128801339174104,0.0486,-1.02555325561515e-07,-0.00145130869817675,2.10629693740344e-06,0.5104
"No 2",0.000113484281079105,0.627769818007712,0.394094944401436,0.0113,2.26488316702893e-05,0.243570374710277,0.0593265274365046,0.1069
"No 3",9.20380541521166e-05,0.561721077934887,0.315530569396331,0.0041,1.66406417634215e-05,0.18276374375924,0.0334025860328931,0.1696
"No 4",8.37118849003909e-05,0.510245343040174,0.260350310094185,0.0285,1.80465429310058e-05,0.235821365306241,0.0556117163348994,0.0949
"No 5",7.8764848466219e-05,0.507165315335212,0.257216657079065,0.0257,1.94533044635519e-05,0.243113099400267,0.0591039791000039,0.0661
"No 6",7.54558885744746e-05,0.492910457169764,0.242960718787306,0.0311,1.60831443323206e-05,0.220936271718548,0.0488128361608921,0.0912
"No 7",9.17223773477143e-05,0.524574438249318,0.275178341264588,0.0316,1.37367304712507e-05,0.162578362350013,0.0264317239044121,0.1764
"No 8",0.000160238772777327,0.721389727245877,0.520403138575881,0.0021,1.06760353946881e-05,0.119194657014908,0.0142073662609015,0.2592
"No 9",0,0,0,0,2.54276938283636e-05,0.26988441042111,0.07283759498835,0.0884
"No 10",0,0,0,0,1.97775695730389e-05,0.204245273379144,0.0417161316977214,0.1239
