Pop,ML_Ne,U_Ne,L_Ne,ML_m,U_m,L_m,Notes,Pop Length,Density
8,2358.82,,,0.053,,,Failed without writing data.,31.3,75.36166134
9,380.03,,,0.6705,,,Terminated manually after 2 days,25.5,14.90313725
10,779.91,,,0.3269,,,Terminated manually after 2 days,22.85,34.13172867
11,672.33,99999,29.51,0.1053,1,0,,40.45,16.62126082
13,2596.26,,,0.0213,,,Failed without writing data.,39.5,65.72810127
14,289.88,,,0.8797,,,Failed without writing data.,20.25,14.31506173
15,352.41,,,0.724,,,Failed in infinite loop,24.8,14.21008065
16,329.86,,,0.773,,,Failed in infinite loop,24.6,13.40894309
19,359.96,,,0.708,,,Failed without writing data.,29.15,12.34854202
20,294.49,99999,31.387,0.2677,1,0.0013,,38.8,7.589948454
22,762.36,99999,51.672,0.078717,1,0.0006,,29.9,25.49698997
23,263.39,,,0.9677,,,Failed without writing data.,19.6,13.43826531
24,9283.27,99999,18.566,0.0022689,1,0,,16.55,560.9226586
25,37.544,99999,16.893,0.9997,1,0,,30.1,1.24730897
