      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.71429     0.30000     0.55000     0.42500     0.52500     0.52500     0.60000     0.54762     0.57500     0.50000     0.50000     0.29412     0.52632     0.55263     0.57353     0.50000     0.57500     0.55000     0.44737
           2     0.00000     0.07500     0.00000     0.00000     0.02500     0.05000     0.02500     0.07143     0.02500     0.02632     0.07500     0.14706     0.02632     0.02632     0.00000     0.02632     0.00000     0.00000     0.05263
           3     0.21429     0.55000     0.42500     0.57500     0.42500     0.35000     0.32500     0.35714     0.37500     0.44737     0.40000     0.55882     0.42105     0.36842     0.41176     0.44737     0.42500     0.42500     0.47368
           4     0.07143     0.07500     0.02500     0.00000     0.02500     0.07500     0.05000     0.02381     0.02500     0.02632     0.02500     0.00000     0.02632     0.05263     0.01471     0.02632     0.00000     0.02500     0.02632
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.71429     0.30000     0.55000     0.42500     0.52500     0.52500     0.60000     0.54762     0.57500     0.50000     0.50000     0.29412     0.52632     0.55263     0.57353     0.50000     0.57500     0.55000     0.44737
           2     0.00000     0.07500     0.00000     0.00000     0.02500     0.05000     0.02500     0.07143     0.02500     0.02632     0.07500     0.14706     0.02632     0.02632     0.00000     0.02632     0.00000     0.00000     0.05263
           3     0.21429     0.55000     0.42500     0.57500     0.42500     0.35000     0.32500     0.35714     0.37500     0.44737     0.40000     0.55882     0.42105     0.36842     0.41176     0.44737     0.42500     0.42500     0.47368
           4     0.07143     0.07500     0.02500     0.00000     0.02500     0.07500     0.05000     0.02381     0.02500     0.02632     0.02500     0.00000     0.02632     0.05263     0.01471     0.02632     0.00000     0.02500     0.02632
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
