RAW ID	FAMOZ ID
APCL345	1
APCL346	2
APCL358	3
APCL344	4
APCL357	5
APCL355	6
APCL348	7
APCL359	8
APCL343	9
APCL347	10
APCL360	11
APCL354	12
APCL351	13
APCL374	14
APCL378	15
APCL373	16
APCL377	17
APCL368	18
APCL370	19
APCL365	20
APCL375	21
APCL369	22
APCL366	23
APCL399	24
APCL411	25
APCL410	26
APCL402	27
APCL405	28
APCL416	29
APCL406	30
APCL418	31
APCL403	32
APCL414	33
APCL413	34
APCL407	35

APCL353	1
APCL361	2
APCL356	3
APCL352	4
APCL350	5
APCL349	6
APCL362	7
APCL372	8
APCL367	9
APCL371	10
APCL376	11
APCL401	12
APCL400	13
APCL412	14
APCL417	15
APCL408	16
APCL404	17
APCL409	18
