                   Output from the program

 Estimating Ne and m jointly, assuming an infinite source

**************** Likelihood estimates ***************
   PARAMETER      POINT_EST         +95%CI         -95%CI
          Ne     1.3699E+02  >  1.0000E+04     9.7953E+01
           m     8.5993E-01  >  1.0000E+00         0.0070

Relative profile log-likelihood as a function of Ne
              Ne          Log(L)
           97.95         -2.0000
           99.45         -1.8295
          101.95         -1.5623
          103.95         -1.3644
          106.45         -1.1365
          108.45         -0.9698
          111.45         -0.7458
          114.45         -0.5535
          117.45         -0.3928
          122.45         -0.1937
          125.45         -0.1125
          130.14         -0.0366
          132.88         -0.0109
          136.99          0.0000
          141.09         -0.0085
          145.20         -0.0301
          152.05         -0.0860
          161.64         -0.1772
          176.71         -0.3195
          195.89         -0.4712
          234.24         -0.6421
          482.18         -0.6911
          640.02         -0.6973
          811.10         -0.7052
          994.74         -0.7126
         1196.29         -0.7191
         1420.29         -0.7247
         1662.29         -0.7295
         1927.28         -0.7336
         2226.17         -0.7373
         2550.05         -0.7403
         2904.05         -0.7430
         3290.05         -0.7453
         3716.05         -0.7474
         4194.05         -0.7492
         4764.86         -0.7509
         5348.86         -0.7523
         5974.86         -0.7536
         6678.86         -0.7547
         7512.86         -0.7558
         8354.86         -0.7566
         9238.86         -0.7573
        10000.00         -0.7579

Relative profile log-likelihood as a function of  m
               m          Log(L)
          0.0070         -2.0000
          0.0085         -1.4768
          0.0102         -1.1797
          0.0136         -0.8969
          0.0248         -0.7573
          0.0454         -0.7515
          0.0830         -0.7413
          0.1367         -0.7279
          0.2250         -0.7095
          0.3676         -0.6924
          0.4300         -0.6447
          0.4945         -0.4600
          0.5590         -0.3030
          0.6342         -0.1628
          0.6879         -0.0911
          0.7417         -0.0413
          0.7954         -0.0118
          0.8599          0.0000
          0.9244         -0.0107
          0.9782         -0.0341
          1.0000         -0.0469

**************** Moment     estimates ***************

 NO valid MT estimate of Ne, MT_m=        0.85
 Ne<0 indicates an infinitely large estimate of Ne



 Program started:  Date(d/m/y)=01/04/2009,  Time(s/m/hr)=23/38/13
 Program finished: Date(d/m/y)=01/04/2009,  Time(s/m/hr)=24/34/19
