FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0135,,,,,,,,,,,
3,0.0201,0.0011,,,,,,,,,,
4,0.0128,-0.0006,-0.0049,,,,,,,,,
5,0.0012,-0.0131,0.0124,-0.002,,,,,,,,
6,0.0204,0.0035,0.0022,-0.0062,-0.0048,,,,,,,
7,0.0337,0.0219,0.0197,-0.0105,0.0045,0.0116,,,,,,
8,-0.0271,-0.0477,-0.0409,-0.053,-0.0459,-0.0292,-0.051,,,,,
9,-0.0043,-0.0314,-0.0345,-0.0329,-0.0609,-0.0169,-0.0765,-0.1704,,,,
10,-0.0541,-0.0923,-0.094,-0.0979,-0.1293,-0.0852,-0.1931,-0.3216,-0.2,,,
11,-0.0086,-0.0179,-0.0077,-0.0133,-0.0112,-0.002,0.0067,-0.0496,-0.0375,-0.1258,,
12,0.0795,0.0614,0.038,0.0844,0.0774,0.0882,0.1022,0.0232,0.1667,0.3333,0.0598,0
