,1,2,7,8,9,10,11,13,14,15,19,22
1,0,,,,,,,,,,,
2,0.003,0,,,,,,,,,,
7,0.0048,0.0037,0,,,,,,,,,
8,0.0067,0.0012,0.0004,0,,,,,,,,
9,0.0129,0.0021,0.0035,-0.0023,0,,,,,,,
10,-0.0035,0.0019,0.0073,0.0009,-0.0012,0,,,,,,
11,0.0011,-0.0024,-0.0006,-0.0076,0.0019,-0.0061,0,,,,,
13,-0.0137,-0.0164,-0.0283,-0.0238,-0.0163,-0.0255,-0.0306,0,,,,
14,-0.0011,0.0029,-0.015,0.0123,-0.0283,-0.0132,-0.0287,-0.0714,0,,,
15,-0.0723,-0.0298,-0.0267,-0.0163,-0.0468,-0.0645,-0.0761,-0.0552,-0.2074,0,,
19,0.0117,0.0063,-0.0032,-0.0083,0.0028,0.0071,0.0088,-0.0187,0.0016,0.0192,0,
22,-0.0075,0.0221,-0.0232,0.0013,0.0039,0.0049,0.0076,0.0061,-0.0122,0.0818,-0.0301,0
