FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0125,,,,,,,,,,,
3,-0.0118,-0.0209,,,,,,,,,,
4,0.0061,0.0045,-0.018,,,,,,,,,
5,-0.017,-0.0167,-0.0196,-0.0195,,,,,,,,
6,-0.0179,0.0124,0.0054,0.0109,-0.014,,,,,,,
7,-0.0155,0.0135,0.022,0.0493,0.0085,-0.0194,,,,,,
8,0.0195,-0.0435,-0.0282,-0.0417,-0.0393,0.0392,0.0911,,,,,
9,-0.0357,-0.0162,-0.0314,-0.065,-0.042,-0.0819,-0.0471,0.094,,,,
10,-0.159,-0.1904,-0.0787,-0.1041,-0.186,-0.275,-0.3616,0.1282,-0.4286,,,
11,-0.0122,-0.0111,-0.0168,-0.0158,-0.0264,-0.007,0.0156,-0.0142,-0.0072,-0.0628,,
12,-0.0683,-0.0311,-0.0146,-0.065,-0.1092,-0.1665,-0.1247,0.094,-0.1429,-0.4286,-0.0466,0
