FST,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,-0.0101,,,,,,,,,,,
3,0.0187,0.0063,,,,,,,,,,
4,0.0077,0.006,-0.0179,,,,,,,,,
5,0.0357,0.0231,-0.0281,-0.022,,,,,,,,
6,-0.0234,-0.0018,0.0057,0.0024,0.0206,,,,,,,
7,-0.0191,-0.0063,0.0028,-0.0052,0.019,-0.0129,,,,,,
8,-0.0617,-0.0167,-0.0104,-0.0238,-0.0055,-0.0368,-0.054,,,,,
9,-0.1669,-0.0938,-0.0459,-0.0547,-0.0332,-0.0965,-0.1198,-0.1478,,,,
10,-0.3885,-0.1777,-0.2437,-0.2687,-0.325,-0.2682,-0.2607,-0.1111,-0.8571,,,
11,-0.0058,-0.0025,-0.0189,-0.0232,-0.0184,-0.0107,-0.0089,-0.0473,-0.1004,-0.3569,,
12,-0.155,-0.0842,-0.0331,-0.0404,-0.0198,-0.0867,-0.1074,-0.0701,-0.4,-0.2,-0.0894,0
