"","SurveyNum","Time","Spp","Size","ID","lat","long"
"143",9,"14:52","PRBI","7","1 to 6",10.2286302927,124.249304817
"144",9,"15:07","PRBI","6","1 to 6",10.2281431365,124.24912615675
"145",9,"15:18","PRBI","8","1 to 6",10.228144624275,124.24898974125
"147",9,"15:32","PRBI","10","1 to 6",10.228282024625,124.2490281725
"148",9,"15:39","PRBI","10","1 to 6",10.228366618975,124.24907777225
"149",9,"15:48","PRBI","6","1 to 6",10.228538888025,124.24918812
"150",10,"16:35","PRBI","13","7 to 8",10.2288151975,124.247636902
"151",11,"14:21","PRBI","10","9",10.228627673375,124.24948467175
"152",11,"14:32","PRBI","12","10",10.228215157975,124.24922489575
"153",11,"14:45","PRBI","10","12",10.228205749325,124.249209913
"154",11,"14:54","PRBI","13","13",10.2280793083,124.24897821625
"155",11,"15:02","PRBI","12","15",10.2281143237,124.24892501225
"156",11,"15:07","PRBI","7","16",10.228179367225,124.24896134775
"157",11,"15:12","PRBI","12","17",10.228299899025,124.24897260025
"158",11,"15:18","PRBI","9","18",10.2283266792,124.249001937
"160",11,"15:34","PRBI","10","19",10.2285858267,124.249179675
"162",12,"10:28","APCL","9","21",10.17643825615,124.17755023575
"163",12,"10:34","PRBI","14","22",10.176496866625,124.17763145675
"164",12,"10:38","PRBI","16","23",10.1765269367,124.17766795975
"165",12,"10:43","PRBI","15","25",10.176547451425,124.17769840675
"166",12,"10:49","PRBI","14","26",10.176573707725,124.17767938
"167",12,"10:53","APCL","10","27",10.17658139815,124.17774153175
"168",12,"10:59","PRBI","12","29",10.17661316555,124.17772445325
"169",12,"11:01","PRBI","14","30",10.176621631225,124.1777495365
"170",12,"11:05","PRBI","9","32",10.176630055075,124.177791446
"171",12,"11:09","PRBI","12","33",10.176682274325,124.177858145
"172",12,"11:17","PRBI","15","34",10.1766858157,124.17805277275
"173",12,"11:22","PRBI","9","35",10.17672477055,124.1780655555
"174",12,"11:25","PRBI","6","36",10.176744384225,124.17807695425
"175",12,"11:30","APCL","7","38",10.176733110575,124.17811846575
"176",12,"11:33","PRBI","14","40",10.176734388825,124.178129069
"177",12,"11:38","PRBI","15","42",10.1767432946,124.17817244525
"178",12,"11:46","PRBI","13","44",10.17672537825,124.178215696
"179",12,"11:51","PRBI","12","46",10.176763117775,124.178235666
"180",12,"11:55","APCL","8","47",10.17677231695,124.178341194
"181",12,"12:03","APCL","11","48",10.17698031385,124.17857219925
"182",13,"10:44","APCL","6","49",9.414452095515,123.31258306975
"183",13,"10:50","PRBI","12","51",9.4144406961275,123.3125730535
"184",13,"11:00","APCL","9","52",9.41441798117,123.31256779375
"185",13,"11:04","APCL","8","53",9.414321337825,123.3125905925
"186",13,"11:10","APCL","10","54",9.4143249001325,123.31273949725
"187",13,"11:15","APCL","6","55",9.41436381312,123.31276217025
"188",13,"11:18","APCL","8","56",9.4143264507875,123.3127638675
"189",13,"11:25","APCL","8","58",9.414298916235,123.3128767925
"190",14,"12:01","APCL","7","59",9.4141511642375,123.31371276175
"191",14,"12:07","APCL","8","61",9.414039726835,123.31368017725
"192",14,"12:14","APCL","7","63",9.414038092365,123.313674666
"193",14,"12:20","APCL","9","64",9.41396831302,123.313624165
"194",14,"12:23","APCL","7","65",9.4139537913725,123.313653376
"195",14,"12:30","APCL","8","67",9.413871041035,123.31376554675
"196",14,"12:34","APCL","9","68",9.41387108294,123.31374448725
"197",14,"12:42","APCL","9","70",9.4138226145875,123.314087705
"198",14,"13:14","PRBI","12","71",NA,NA
"272",15,"15:27","PRBI","11","73",9.4112389767525,123.32882495625
"376",17,"11:31","PRBI","7","75",9.416071814485,123.308444442
"378",17,"11:40","PRBI","8","77",9.41605391912,123.30864741
"384",17,"11:54","PRBI","12","78",9.41536972532,123.30975679675
"386",17,"12:05","PRBI","11","80",9.4150819117225,123.31031113375
"393",17,"12:29","PRBI","8","81",9.41453046631,123.3118528175
"397",17,"12:43","PRBI","7","82",9.414250510745,123.31293412475
"398",17,"12:48","PRBI","6","83",9.414127401545,123.31323084425
"456",18,"15:05","PRBI","11","84",9.41838507692308,123.346919153846
"471",18,"15:25","PRBI","8","85",9.41756405128205,123.345597102564
"497",19,"10:18","PRBI","11","86",9.8992203245875,123.6083234775
"500",19,"10:36","APCL","9","88",9.89966793917,123.6086092585
"501",19,"10:41","APCL","8","90",9.899682754185,123.608629459
"504",19,"11:04","APCL","9","93",9.900374868885,123.6084624915
"506",19,"11:17","APCL","8","95",9.90045204526,123.60827190775
"507",19,"11:24","APCL","6","96",9.9006724054925,123.60809433725
"509",19,"11:29","APCL","8","97",9.90091252606,123.60830742625
"515",20,"13:52","PRBI","10","98",9.87126787193,123.6020698655
"516",20,"14:10","APCL","4","100",9.8705964395775,123.60188877425
"517",20,"14:15","APCL","9","101",9.87064691959,123.60182542825
"522",20,"15:01","APCL","6","103",9.8696282668975,123.59802545025
"524",20,"15:09","APCL","4","107",NA,NA
"526",20,"15:15","APCL","6","108",NA,NA
"529",21,"16:22","PRBI","5","109",9.8661844991175,123.5894043695
"531",21,"16:38","APCL","8","111",9.8652110458375,123.58839835275
"536",22,"09:54","PRBI","11","112",9.833411444,123.5690497
"537",22,"10:08","PRBI","12","113",9.832887513,123.5691369
"538",22,"10:16","PRBI","14","115",9.832646369,123.5689489
"547",22,"10:35","PRBI","10","116",9.832660528,123.5684931
"551",22,"10:44","PRBI","5","117",9.833037084,123.5685467
"554",22,"11:08","PRBI","10","119",NA,NA
"555",22,"11:24","PRBI","12","121",NA,NA
"564",23,"12:58","PRBI","13","122",9.842880105135,123.568275331
"636",25,"10:30","APCL","7","124",9.6349017857575,123.48470396375
"638",25,"11:31","APCL","8","132",9.636083592195,123.48509020175
"639",25,"11:34","APCL","7","133",9.6360810357125,123.4850745485
"642",25,"11:44","PRBI","10","137",9.6361473994325,123.48513885875
"643",25,"11:58","APCL","6","140",9.6363718248875,123.48528717625
"657",25,"10:57","APCL","6","128",9.635942922905,123.48508018525
"658",25,"10:58","APCL","5","126",9.6359816263425,123.4850874145
"659",25,"11:24","APCL","10","131",9.6359746903175,123.48508957325
"661",25,"11:44","APCL","8","139",9.6361473994325,123.48513885875
"667",25,"12:04","APCL","8","141",9.63656054344,123.485358192
"668",26,"14:26","APCL","11","144",9.6367651247425,123.485416635
"687",26,"14:15","APCL","6","142",9.636718898545,123.48542250225
"758",26,"16:05","PRBI","12","146",9.642177654895,123.48777350025
"830",27,"17:36","PRBI","10","147",9.6480470406825,123.4900545305
"852",28,"10:04","PRBI","12","152",9.61030618055,123.47457782825
"861",28,"08:56","PRBI","8","149",9.607030113695,123.473696555
"879",28,"09:43","PRBI","9","150",9.60944688879,123.47434518875
"903",29,"11:53","PRBI","8","156",9.601981882005,123.47749007875
"909",29,"12:28","PRBI","11","158",9.6026397147225,123.4758351135
"930",29,"11:39","PRBI","10","154",9.601762632375,123.47766184475
"942",29,"12:03","PRBI","7","157",9.60202779388,123.4771979695
"1046",31,"11:05","APCL","4","162",10.22717812795,123.8195234235
"1047",31,"11:34","APCL","5","163",10.2274436038,123.81993155925
"1048",31,"11:44","APCL","6","165",10.2275549993,123.8199217105
"1049",31,"11:55","PRBI","6","167",10.227837972325,123.819852937
"1050",31,"10:26","PRBI","5","160",10.227573229925,123.817236903
"1053",31,"11:40","PRBI","3","164",10.22754135775,123.8199307
"1062",32,"13:54","PRBI","12","168",10.22062163565,123.7915877975
"1072",32,"14:21","PRBI","8","170",10.2206275449,123.7903635575
"1074",33,"15:34","APCL","7","171",10.222767842925,123.78396162775
"1075",33,"15:37","APCL","9","172",10.2227961109,123.78398497125
"1076",33,"16:20","PRBI","9","174",10.22208442445,123.78329065625
