"","SiteNum","Municipality","Province","NumPRBI","NumAPCL"
"1",1,"Getafe","Bohol",20,0
"2",2,"Getafe","Bohol",21,7
"3",7,"Santander","Cebu",16,20
"5",8,"Boljoon","Cebu",16,20
"4",9,"Argao","Cebu",18,20
"6",11,"Minglanilla","Cebu",19,20
"7",12,"Carcar","Cebu",21,20
"8",13,"Danao","Cebu",4,20
"17",14,"Sogod","Cebu",2,21
"18",15,"Tabogon","Cebu",1,21
"20",16,"Daanbantayan","Cebu",0,20
"19",17,"Daanbantayan","Cebu",0,21
"11",18,"Pintuyan","Southern Leyte",0,17
"10",19,"Padre Burgos","Southern Leyte",20,20
"9",20,"Maasin","Southern Leyte",0,19
"12",22,"Inopacan","Leyte",2,34
"14",23,"Baybay","Leyte",0,19
"13",24,"Albuera","Leyte",0,20
"16",25,"Ormoc","Leyte",0,20
"15",27,"Palompon","Leyte",0,20
