timeold,year,month,day,hourold,minold,secold,latold,longold,hour,min,sec,decsec,use,proportion,lat,long,time
2008-09-07T07:34:36Z,2008,9,7,7,34,36,9.833507482,123.568715,1,43,30,0,1,0,9.833507482,123.568715,2008-09-07T01:43:30Z
,2008,9,7,,,,,,1,44,30,60,1,0.211267606,9.833523171,123.5687613,2008-09-07T01:44:30Z
,2008,9,7,,,,,,1,45,30,120,1,0.422535211,9.833538861,123.5688076,2008-09-07T01:45:30Z
,2008,9,7,,,,,,1,46,30,180,1,0.633802817,9.83355455,123.5688538,2008-09-07T01:46:30Z
,2008,9,7,,,,,,1,47,30,240,1,0.845070423,9.83357024,123.5689001,2008-09-07T01:47:30Z
2008-09-07T07:34:51Z,2008,9,7,7,34,51,9.833581746,123.568934,1,48,14,284,0,,9.833581746,123.568934,2008-09-07T01:48:14Z
,2008,9,7,,,,,,1,48,30,300,1,0.056338028,9.833575229,123.5689403,2008-09-07T01:48:30Z
,2008,9,7,,,,,,1,49,30,360,1,0.267605634,9.833550792,123.5689639,2008-09-07T01:49:30Z
,2008,9,7,,,,,,1,50,30,420,1,0.478873239,9.833526354,123.5689875,2008-09-07T01:50:30Z
,2008,9,7,,,,,,1,51,30,480,1,0.690140845,9.833501917,123.5690111,2008-09-07T01:51:30Z
,2008,9,7,,,,,,1,52,30,540,1,0.901408451,9.833477479,123.5690347,2008-09-07T01:52:30Z
2008-09-07T07:35:06Z,2008,9,7,7,35,6,9.833466075,123.5690457,1,52,58,568,0,,9.833466075,123.5690457,2008-09-07T01:52:58Z
,2008,9,7,,,,,,1,53,30,600,1,0.112676056,9.833447073,123.5690471,2008-09-07T01:53:30Z
,2008,9,7,,,,,,1,54,30,660,1,0.323943662,9.833411444,123.5690497,2008-09-07T01:54:30Z
,2008,9,7,,,,,,1,55,30,720,1,0.535211268,9.833375815,123.5690524,2008-09-07T01:55:30Z
,2008,9,7,,,,,,1,56,30,780,1,0.746478873,9.833340186,123.569055,2008-09-07T01:56:30Z
,2008,9,7,,,,,,1,57,30,840,1,0.957746479,9.833304557,123.5690577,2008-09-07T01:57:30Z
2008-09-07T07:35:21Z,2008,9,7,7,35,21,9.833297431,123.5690582,1,57,42,852,0,,9.833297431,123.5690582,2008-09-07T01:57:42Z
,2008,9,7,,,,,,1,58,30,900,1,0.169014085,9.833265174,123.5690731,2008-09-07T01:58:30Z
,2008,9,7,,,,,,1,59,30,960,1,0.38028169,9.833224852,123.5690916,2008-09-07T01:59:30Z
,2008,9,7,,,,,,2,0,30,1020,1,0.591549296,9.833184531,123.5691102,2008-09-07T02:0:30Z
,2008,9,7,,,,,,2,1,30,1080,1,0.802816901,9.833144209,123.5691288,2008-09-07T02:01:30Z
2008-09-07T07:35:36Z,2008,9,7,7,35,36,9.833106576,123.5691462,2,2,26,1136,0,,9.833106576,123.5691462,2008-09-07T02:02:26Z
,2008,9,7,,,,,,2,2,30,1140,1,0.014084507,9.833104191,123.5691463,2008-09-07T02:02:30Z
,2008,9,7,,,,,,2,3,30,1200,1,0.225352113,9.83306842,123.5691481,2008-09-07T02:03:30Z
,2008,9,7,,,,,,2,4,30,1260,1,0.436619718,9.83303265,123.5691498,2008-09-07T02:04:30Z
,2008,9,7,,,,,,2,5,30,1320,1,0.647887324,9.832996879,123.5691516,2008-09-07T02:05:30Z
,2008,9,7,,,,,,2,6,30,1380,1,0.85915493,9.832961108,123.5691533,2008-09-07T02:06:30Z
2008-09-07T07:32:06Z,2008,9,7,7,32,6,9.832937261,123.5691545,2,7,10,1420,0,,,,2008-09-07T02:07:10Z
,2008,9,7,,,,,,2,7,30,1440,1,0.070422535,9.832924824,123.5691501,2008-09-07T02:07:30Z
,2008,9,7,,,,,,2,8,30,1500,1,0.281690141,9.832887513,123.5691369,2008-09-07T02:08:30Z
,2008,9,7,,,,,,2,9,30,1560,1,0.492957746,9.832850201,123.5691236,2008-09-07T02:09:30Z
,2008,9,7,,,,,,2,10,30,1620,1,0.704225352,9.83281289,123.5691104,2008-09-07T02:10:30Z
,2008,9,7,,,,,,2,11,30,1680,1,0.915492958,9.832775579,123.5690972,2008-09-07T02:11:30Z
2008-09-07T07:32:21Z,2008,9,7,7,32,21,9.832760654,123.5690919,2,11,54,1704,0,,,,2008-09-07T02:11:54Z
,2008,9,7,,,,,,2,12,30,1740,1,0.126760563,9.832745748,123.5690732,2008-09-07T02:12:30Z
,2008,9,7,,,,,,2,13,30,1800,1,0.338028169,9.832720903,123.5690422,2008-09-07T02:13:30Z
,2008,9,7,,,,,,2,14,30,1860,1,0.549295775,9.832696058,123.5690111,2008-09-07T02:14:30Z
,2008,9,7,,,,,,2,15,30,1920,1,0.76056338,9.832671214,123.56898,2008-09-07T02:15:30Z
,2008,9,7,,,,,,2,16,30,1980,1,0.971830986,9.832646369,123.5689489,2008-09-07T02:16:30Z
2008-09-07T07:32:36Z,2008,9,7,7,32,36,9.832643056,123.5689448,2,16,38,1988,0,,,,2008-09-07T02:16:38Z
,2008,9,7,,,,,,2,17,30,2040,1,0.183098592,9.832619759,123.5689239,2008-09-07T02:17:30Z
,2008,9,7,,,,,,2,18,30,2100,1,0.394366197,9.832592878,123.5688998,2008-09-07T02:18:30Z
,2008,9,7,,,,,,2,19,30,2160,1,0.605633803,9.832565997,123.5688757,2008-09-07T02:19:30Z
,2008,9,7,,,,,,2,20,30,2220,1,0.816901408,9.832539116,123.5688516,2008-09-07T02:20:30Z
2008-09-07T07:32:51Z,2008,9,7,7,32,51,9.832515819,123.5688307,2,21,12,2272,0,,,,2008-09-07T02:21:12Z
,2008,9,7,,,,,,2,21,30,2280,1,0.028169014,9.832511892,123.5688266,2008-09-07T02:21:30Z
,2008,9,7,,,,,,2,22,30,2340,1,0.23943662,9.832482444,123.5687961,2008-09-07T02:22:30Z
,2008,9,7,,,,,,2,23,30,2400,1,0.450704225,9.832452995,123.5687656,2008-09-07T02:23:30Z
,2008,9,7,,,,,,2,24,30,2460,1,0.661971831,9.832423546,123.5687351,2008-09-07T02:24:30Z
,2008,9,7,,,,,,2,25,30,2520,1,0.873239437,9.832394097,123.5687047,2008-09-07T02:25:30Z
2008-09-07T07:33:06Z,2008,9,7,7,33,6,9.832376428,123.5686864,2,25,56,2556,0,,,,2008-09-07T02:25:56Z
,2008,9,7,,,,,,2,26,30,2580,1,0.084507042,9.832385162,123.5686743,2008-09-07T02:26:30Z
,2008,9,7,,,,,,2,27,30,2640,1,0.295774648,9.832406996,123.5686441,2008-09-07T02:27:30Z
,2008,9,7,,,,,,2,28,30,2700,1,0.507042254,9.83242883,123.5686139,2008-09-07T02:28:30Z
,2008,9,7,,,,,,2,29,30,2760,1,0.718309859,9.832450664,123.5685836,2008-09-07T02:29:30Z
,2008,9,7,,,,,,2,30,30,2820,1,0.929577465,9.832472499,123.5685534,2008-09-07T02:30:30Z
2008-09-07T07:33:21Z,2008,9,7,7,33,21,9.832479777,123.5685434,2,30,40,2840,0,,,,2008-09-07T02:30:40Z
,2008,9,7,,,,,,2,31,30,2880,1,0.145985401,9.832505559,123.5685361,2008-09-07T02:31:30Z
,2008,9,7,,,,,,2,32,30,2940,1,0.364963504,9.832544232,123.5685252,2008-09-07T02:32:30Z
,2008,9,7,,,,,,2,33,30,3000,1,0.583941606,9.832582905,123.5685143,2008-09-07T02:33:30Z
,2008,9,7,,,,,,2,34,30,3060,1,0.802919708,9.832621578,123.5685035,2008-09-07T02:34:30Z
2008-09-07T07:33:36Z,2008,9,7,7,33,36,9.832656384,123.5684937,2,35,24,3114,0,,,,2008-09-07T02:35:24Z
,2008,9,7,,,,,,2,35,30,3120,1,0.020408163,9.832660528,123.5684931,2008-09-07T02:35:30Z
,2008,9,7,,,,,,2,36,30,3180,1,0.224489796,9.832701976,123.5684878,2008-09-07T02:36:30Z
,2008,9,7,,,,,,2,37,30,3240,1,0.428571429,9.832743424,123.5684825,2008-09-07T02:37:30Z
,2008,9,7,,,,,,2,38,30,3300,1,0.632653061,9.832784871,123.5684772,2008-09-07T02:38:30Z
,2008,9,7,,,,,,2,39,30,3360,1,0.836734694,9.832826319,123.5684718,2008-09-07T02:39:30Z
2008-09-07T07:33:51Z,2008,9,7,7,33,51,9.832859477,123.5684676,2,40,8,3408,0,,,,2008-09-07T02:40:08Z
,2008,9,7,,,,,,2,40,30,3420,1,0.042253521,9.832867934,123.5684714,2008-09-07T02:40:30Z
,2008,9,7,,,,,,2,41,30,3480,1,0.253521127,9.832910222,123.5684902,2008-09-07T02:41:30Z
,2008,9,7,,,,,,2,42,30,3540,1,0.464788732,9.832952509,123.568509,2008-09-07T02:42:30Z
,2008,9,7,,,,,,2,43,30,3600,1,0.676056338,9.832994796,123.5685279,2008-09-07T02:43:30Z
,2008,9,7,,,,,,2,44,30,3660,1,0.887323944,9.833037084,123.5685467,2008-09-07T02:44:30Z
2008-09-07T07:34:06Z,2008,9,7,7,34,6,9.833059637,123.5685568,2,44,52,3692,0,,,,2008-09-07T02:44:52Z
,2008,9,7,,,,,,2,45,30,3720,1,0.098591549,9.833082701,123.5685621,2008-09-07T02:45:30Z
,2008,9,7,,,,,,2,46,30,3780,1,0.309859155,9.833132125,123.5685735,2008-09-07T02:46:30Z
,2008,9,7,,,,,,2,47,30,3840,1,0.521126761,9.833181549,123.5685849,2008-09-07T02:47:30Z
,2008,9,7,,,,,,2,48,30,3900,1,0.732394366,9.833230972,123.5685962,2008-09-07T02:48:30Z
,2008,9,7,,,,,,2,49,30,3960,1,0.943661972,9.833280396,123.5686076,2008-09-07T02:49:30Z
2008-09-07T07:34:21Z,2008,9,7,7,34,21,9.833293576,123.5686107,2,49,36,3976,0,,,,2008-09-07T02:49:36Z
,2008,9,7,,,,,,2,50,30,4020,1,0.154929577,9.833326716,123.5686268,2008-09-07T02:50:30Z
,2008,9,7,,,,,,2,51,30,4080,1,0.366197183,9.833371908,123.5686489,2008-09-07T02:51:30Z
,2008,9,7,,,,,,2,52,30,4140,1,0.577464789,9.833417099,123.5686709,2008-09-07T02:52:30Z
,2008,9,7,,,,,,2,53,30,4200,1,0.788732394,9.833462291,123.568693,2008-09-07T02:53:30Z
2008-09-07T07:34:36Z,2008,9,7,7,34,36,9.833507482,123.568715,2,54,20,4260,1,1,9.833507482,123.568715,2008-09-07T02:54:20Z
