"SurveyNum","SiteNum","Name","Region","Municipality","ID","lat","long","Sample.Name","AC1359_1","AC1359_2","APR_Cf29_1","APR_Cf29_2","APY_65_1","APY_65_2","NNG_012_1","NNG_012_2"
12,2,"Handumon MPA","Danajon","Getafe",21,10.17643826,124.1775502,"APCL21",240,242,216,218,?,?,?,?
12,2,"Handumon MPA","Danajon","Getafe",27,10.1765814,124.1777415,"APCL27",240,242,?,?,?,?,111,117
12,2,"Handumon MPA","Danajon","Getafe",28,10.1765814,124.1777415,"APCL28",240,246,210,212,?,?,?,?
12,2,"Handumon MPA","Danajon","Getafe",38,10.17673311,124.1781185,"APCL38",242,242,?,?,?,?,111,115
12,2,"Handumon MPA","Danajon","Getafe",39,10.17673311,124.1781185,"APCL39",240,242,229,229,?,?,?,?
12,2,"Handumon MPA","Danajon","Getafe",47,10.17677232,124.1783412,"APCL47",240,240,218,224,?,?,?,?
12,2,"Handumon MPA","Danajon","Getafe",48,10.17698031,124.1785722,"APCL48",240,240,?,?,?,?,?,?
13,7,"Looc","Cebu","Santander",49,9.414452096,123.3125831,"APCL49",240,240,?,?,250,256,?,?
13,7,"Looc","Cebu","Santander",50,9.414452096,123.3125831,"APCL50",240,242,210,216,?,?,?,?
13,7,"Looc","Cebu","Santander",52,9.414417981,123.3125678,"APCL52",240,242,210,210,256,262,?,?
13,7,"Looc","Cebu","Santander",53,9.414321338,123.3125906,"APCL53",240,240,210,229,?,?,?,?
13,7,"Looc","Cebu","Santander",54,9.4143249,123.3127395,"APCL54",240,242,210,210,254,256,?,?
13,7,"Looc","Cebu","Santander",55,9.414363813,123.3127622,"APCL55",242,242,212,212,?,?,111,111
13,7,"Looc","Cebu","Santander",56,9.414326451,123.3127639,"APCL56",240,242,210,212,?,?,?,?
13,7,"Looc","Cebu","Santander",57,9.414326451,123.3127639,"APCL57",240,240,210,212,?,?,115,115
13,7,"Looc","Cebu","Santander",58,9.414298916,123.3128768,"APCL58",242,250,210,210,?,?,?,?
14,7,"Looc","Cebu","Santander",59,9.414151164,123.3137128,"APCL59",240,242,210,214,?,?,?,?
