SurveyNum,Observer,OnSwath,ObsTime,AnemSpp,AnemDia,Spp,Size1,ID1,Size2,ID2,Size3,ID3,Size4,ID4,Size5,ID5,Size6,ID6,Spp2,Spp2Size1,Spp2Size2,Depth,ft,Notes
1,MLP,1,09:53,HECR,27,,,,,,,,,,,,,,,,,,,
1,MLP,1,09:58,HECR,30,,,,,,,,,,,,,,,,,,,
1,MLP,1,10:03,HECR,45,PRBI,10,,13,,,,,,,,,,,,,,,Not a reported symbiosis in Fautin and Allen!
2,MLP,1,14:39,ENQD,12,,,,,,,,,,,,,,,,,,,
2,MLP,1,14:39,ENQD,40,,,,,,,,,,,,,,,,,,,
2,MLP,1,14:47,HECR,,,,,,,,,,,,,,,,,,,,
2,MLP,1,14:47,ENQD,45,PRBI,15,,7,,,,,,,,,,,,,,,
2,MLP,1,14:53,ENQD,50,,,,,,,,,,,,,,,,,,,
2,MLP,1,14:56,ENQD,20,PRBI,8,,,,,,,,,,,,,,,,,
2,MLP,1,14:58,ENQD,25,PRBI,14,,8,,,,,,,,,,,,,,,
2,MLP,1,15:00,HECR,45,APCL,10,,11,,,,,,,,,,,,,,,
2,MLP,1,15:02,HECR,25,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:02,HECR,28,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:04,ENQD,25,PRBI,10,,,,,,,,,,,,,,,,,
2,MLP,1,15:05,ENQD,30,PRBI,13,,8,,,,,,,,,,,,,,,
2,MLP,1,15:06,HECR,40,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:06,HECR,20,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:07,HECR,20,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:07,HECR,25,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:11,HECR,28,APCL,9,,,,,,,,,,,,,,,,,
2,MLP,1,15:12,ENQD,35,PRBI,13,,7,,,,,,,,,,,,,,,
2,MLP,1,15:13,HECR,25,,,,,,,,,,,,,,,,,,,
2,MLP,1,15:13,HECR,40,,,,,,,,,,,,,,,,,,,
